"start_time","end_time","o3","flag_o3","o3std","flag_o3std","jd","day","time.dec","time","hour","min","date"
6.583333,6.625,38.7,0,0.5,0,6,2018-01-07,0.583333,840.009519999999,14,0,2018-01-07 14:00:00
6.625,6.666667,38.3,0,0.6,0,6,2018-01-07,0.625,900.01,15,0,2018-01-07 15:00:00
6.666667,6.708333,37.8,0,0.8,0,6,2018-01-07,0.666667,960.01048,16,0,2018-01-07 16:00:00
6.708333,6.75,38.3,0,0.7,0,6,2018-01-07,0.708333,1020.00952,17,0,2018-01-07 17:00:00
6.75,6.791667,38.8,0,0.6,0,6,2018-01-07,0.75,1080.01,18,0,2018-01-07 18:00:00
6.791667,6.833333,39,0,0.5,0,6,2018-01-07,0.791667,1140.01048,19,0,2018-01-07 19:00:00
6.833333,6.875,39,0,0.5,0,6,2018-01-07,0.833333,1200.00952,20,0,2018-01-07 20:00:00
6.875,6.916667,39.2,0,0.6,0,6,2018-01-07,0.875,1260.01,21,0,2018-01-07 21:00:00
6.916667,6.958333,40,0,0.4,0,6,2018-01-07,0.916667,1320.01048,22,0,2018-01-07 22:00:00
6.958333,7,39.3,0,1.6,0,6,2018-01-07,0.958333,1380.00952,23,0,2018-01-07 23:00:00
7,7.041667,38.9,0,0.6,0,7,2018-01-08,0,0.01,0,0,2018-01-08 00:00:00
7.041667,7.083333,39.1,0,0.7,0,7,2018-01-08,0.0416670000000003,60.0104800000005,1,0,2018-01-08 01:00:00
7.083333,7.125,39.8,0,0.3,0,7,2018-01-08,0.0833329999999997,120.00952,2,0,2018-01-08 02:00:00
7.125,7.166667,39.7,0,0.7,0,7,2018-01-08,0.125,180.01,3,0,2018-01-08 03:00:00
7.166667,7.208333,40.1,0,0.5,0,7,2018-01-08,0.166667,240.01048,4,0,2018-01-08 04:00:00
7.208333,7.25,39.8,0,0.3,0,7,2018-01-08,0.208333,300.009519999999,5,0,2018-01-08 05:00:00
7.25,7.291667,39.6,0,0.6,0,7,2018-01-08,0.25,360.01,6,0,2018-01-08 06:00:00
7.291667,7.333333,40,0,0.3,0,7,2018-01-08,0.291667,420.01048,7,0,2018-01-08 07:00:00
7.333333,7.375,39.5,0,0.3,0,7,2018-01-08,0.333333,480.009519999999,8,0,2018-01-08 08:00:00
7.375,7.416667,39.5,0,0.4,0,7,2018-01-08,0.375,540.01,9,0,2018-01-08 09:00:00
7.416667,7.458333,40.5,0.39,5.2,0.39,7,2018-01-08,0.416667,600.01048,10,0,2018-01-08 10:00:00
7.458333,7.5,38.8,0,0.6,0,7,2018-01-08,0.458333,660.009519999999,11,0,2018-01-08 11:00:00
7.5,7.541667,39.5,0,0.3,0,7,2018-01-08,0.5,720.01,12,0,2018-01-08 12:00:00
7.541667,7.583333,39.1,0,0.4,0,7,2018-01-08,0.541667,780.01048,13,0,2018-01-08 13:00:00
7.583333,7.625,38.8,0,0.5,0,7,2018-01-08,0.583333,840.009519999999,14,0,2018-01-08 14:00:00
7.625,7.666667,38,0,0.4,0,7,2018-01-08,0.625,900.01,15,0,2018-01-08 15:00:00
7.666667,7.708333,38.9,0,0.3,0,7,2018-01-08,0.666667,960.01048,16,0,2018-01-08 16:00:00
7.708333,7.75,39.2,0,0.5,0,7,2018-01-08,0.708333,1020.00952,17,0,2018-01-08 17:00:00
7.75,7.791667,39.6,0,0.6,0,7,2018-01-08,0.75,1080.01,18,0,2018-01-08 18:00:00
7.791667,7.833333,38.9,0,0.5,0,7,2018-01-08,0.791667,1140.01048,19,0,2018-01-08 19:00:00
7.833333,7.875,38.5,0,0.5,0,7,2018-01-08,0.833333,1200.00952,20,0,2018-01-08 20:00:00
7.875,7.916667,37.8,0,0.6,0,7,2018-01-08,0.875,1260.01,21,0,2018-01-08 21:00:00
7.916667,7.958333,37.5,0,0.5,0,7,2018-01-08,0.916667,1320.01048,22,0,2018-01-08 22:00:00
7.958333,8,36.8,0,0.7,0,7,2018-01-08,0.958333,1380.00952,23,0,2018-01-08 23:00:00
8,8.041667,36.7,0,0.7,0,8,2018-01-09,0,0.01,0,0,2018-01-09 00:00:00
8.041667,8.083333,35.8,0,0.7,0,8,2018-01-09,0.0416670000000003,60.0104800000005,1,0,2018-01-09 01:00:00
8.083333,8.125,31.9,0,1.1,0,8,2018-01-09,0.0833329999999997,120.00952,2,0,2018-01-09 02:00:00
8.125,8.166667,29.8,0,0.6,0,8,2018-01-09,0.125,180.01,3,0,2018-01-09 03:00:00
8.166667,8.208333,29.8,0,2,0,8,2018-01-09,0.166667,240.01048,4,0,2018-01-09 04:00:00
8.208333,8.25,26.6,0.39,6.9,0.39,8,2018-01-09,0.208333,300.009519999999,5,0,2018-01-09 05:00:00
8.25,8.291667,23.8,0,1.2,0,8,2018-01-09,0.25,360.01,6,0,2018-01-09 06:00:00
8.291667,8.333333,25.6,0,1.5,0,8,2018-01-09,0.291667,420.01048,7,0,2018-01-09 07:00:00
8.333333,8.375,28.4,0,2.9,0,8,2018-01-09,0.333333,480.009519999999,8,0,2018-01-09 08:00:00
8.375,8.416667,31.2,0,2.8,0,8,2018-01-09,0.375,540.01,9,0,2018-01-09 09:00:00
8.416667,8.458333,32.3,0,1.9,0,8,2018-01-09,0.416667,600.01048,10,0,2018-01-09 10:00:00
8.458333,8.5,34.8,0,2.2,0,8,2018-01-09,0.458333,660.009519999999,11,0,2018-01-09 11:00:00
8.5,8.541667,32.4,0,4.4,0,8,2018-01-09,0.5,720.01,12,0,2018-01-09 12:00:00
8.541667,8.583333,30.9,0,2.7,0,8,2018-01-09,0.541667,780.01048,13,0,2018-01-09 13:00:00
8.583333,8.625,32.6,0,3.5,0,8,2018-01-09,0.583333,840.009519999999,14,0,2018-01-09 14:00:00
8.625,8.666667,31.8,0,4.2,0,8,2018-01-09,0.625,900.01,15,0,2018-01-09 15:00:00
8.666667,8.708333,27.7,0,2.6,0,8,2018-01-09,0.666667,960.01048,16,0,2018-01-09 16:00:00
8.708333,8.75,32.7,0,3.2,0,8,2018-01-09,0.708333,1020.00952,17,0,2018-01-09 17:00:00
8.75,8.791667,32.4,0,4.2,0,8,2018-01-09,0.75,1080.01,18,0,2018-01-09 18:00:00
8.791667,8.833333,30,0,3,0,8,2018-01-09,0.791667,1140.01048,19,0,2018-01-09 19:00:00
8.833333,8.875,26.4,0,5.1,0,8,2018-01-09,0.833333,1200.00952,20,0,2018-01-09 20:00:00
8.875,8.916667,28.3,0,2.8,0,8,2018-01-09,0.875,1260.01,21,0,2018-01-09 21:00:00
8.916667,8.958333,30.7,0,4.8,0,8,2018-01-09,0.916667,1320.01048,22,0,2018-01-09 22:00:00
8.958333,9,29.9,0,3.4,0,8,2018-01-09,0.958333,1380.00952,23,0,2018-01-09 23:00:00
9,9.041667,33.2,0,5.2,0,9,2018-01-10,0,0.01,0,0,2018-01-10 00:00:00
9.041667,9.083333,30.3,0,4.7,0,9,2018-01-10,0.0416670000000003,60.0104800000005,1,0,2018-01-10 01:00:00
9.083333,9.125,27.2,0,3.9,0,9,2018-01-10,0.0833329999999997,120.00952,2,0,2018-01-10 02:00:00
9.125,9.166667,29.2,0,1.8,0,9,2018-01-10,0.125,180.01,3,0,2018-01-10 03:00:00
9.166667,9.208333,30.9,0,1.1,0,9,2018-01-10,0.166667,240.01048,4,0,2018-01-10 04:00:00
9.208333,9.25,39.1,0,4.2,0,9,2018-01-10,0.208333,300.009519999999,5,0,2018-01-10 05:00:00
9.25,9.291667,41,0,3,0,9,2018-01-10,0.25,360.01,6,0,2018-01-10 06:00:00
9.291667,9.333333,43.3,0,1.6,0,9,2018-01-10,0.291667,420.01048,7,0,2018-01-10 07:00:00
